sub_id,age_months,gender,english,exclude2,prop_correct_vocab,end_time,resp_start_time,stage_type,start_time,event,version,correct,help,object1,category,Object 1,time_start,type,trial_type
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:13:34Z,0000-11-09T15:13:33Z,Pair (Repeated),0000-11-09T15:13:32Z,Session,16,1,None,apple,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:01Z,0000-11-09T15:14:00Z,Pair (New),0000-11-09T15:13:59Z,Session,16,1,None,longan,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:10Z,0000-11-09T15:14:09Z,Pair (Repeated),0000-11-09T15:14:07Z,Session,16,1,None,gourd,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:18Z,0000-11-09T15:14:17Z,Pair (Repeated),0000-11-09T15:14:16Z,Session,16,1,None,bowl,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:42Z,0000-11-09T15:14:42Z,Pair (Repeated),0000-11-09T15:14:40Z,Session,16,1,None,pipette,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:50Z,0000-11-09T15:14:50Z,Pair (New),0000-11-09T15:14:48Z,Session,16,0,None,bung,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:15:00Z,0000-11-09T15:14:59Z,Pair (New),0000-11-09T15:14:57Z,Session,16,1,None,bok-choy,NA,NA,NA,NA,NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:10:31Z,0000-11-09T15:10:31Z,Pair (New),0000-11-09T15:10:30Z,Session,16,1,None,spoon,NA,NA,NA,NA,FF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:10:58Z,0000-11-09T15:10:57Z,Pair (New),0000-11-09T15:10:55Z,Session,16,1,None,pretzel,NA,NA,NA,NA,FF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:09Z,0000-11-09T15:11:06Z,Pair (New),0000-11-09T15:11:04Z,Session,16,1,None,flower,NA,NA,NA,NA,FF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:18Z,0000-11-09T15:11:17Z,Pair (Repeated),0000-11-09T15:11:15Z,Session,16,1,None,balloon,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:43Z,0000-11-09T15:11:42Z,Pair (New),0000-11-09T15:11:40Z,Session,16,1,None,ladle,NA,NA,NA,NA,NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:11:54Z,0000-11-09T15:11:53Z,Pair (New),0000-11-09T15:11:51Z,Session,16,1,None,tongs,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:03Z,0000-11-09T15:12:02Z,Pair (Repeated),0000-11-09T15:12:00Z,Session,16,1,None,cam,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:33Z,0000-11-09T15:12:32Z,Pair (Repeated),0000-11-09T15:12:31Z,Session,16,1,None,guitar,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:42Z,0000-11-09T15:12:42Z,Pair (Repeated),0000-11-09T15:12:41Z,Session,16,1,None,kettle,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:12:51Z,0000-11-09T15:12:50Z,Pair (New),0000-11-09T15:12:49Z,Session,16,1,None,fig,NA,NA,NA,NA,NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:13:17Z,0000-11-09T15:13:16Z,Pair (New),0000-11-09T15:13:14Z,Session,16,1,None,sieve,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:13:25Z,0000-11-09T15:13:25Z,Pair (New),0000-11-09T15:13:23Z,Session,16,1,None,chestnut,NA,NA,NA,NA,NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:13:34Z,0000-11-09T15:13:33Z,Pair (Repeated),0000-11-09T15:13:32Z,Session,16,1,None,apple,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:01Z,0000-11-09T15:14:00Z,Pair (New),0000-11-09T15:13:59Z,Session,16,1,None,longan,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:10Z,0000-11-09T15:14:09Z,Pair (Repeated),0000-11-09T15:14:07Z,Session,16,1,None,gourd,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:18Z,0000-11-09T15:14:17Z,Pair (Repeated),0000-11-09T15:14:16Z,Session,16,1,None,bowl,NA,NA,NA,NA,C-NF
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:42Z,0000-11-09T15:14:42Z,Pair (Repeated),0000-11-09T15:14:40Z,Session,16,1,None,pipette,NA,NA,NA,NA,C-NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:14:50Z,0000-11-09T15:14:50Z,Pair (New),0000-11-09T15:14:48Z,Session,16,0,None,bung,NA,NA,NA,NA,NN
1191602,56.760000000000005,male,95,NA,0.8095238095238095,0000-11-09T15:15:00Z,0000-11-09T15:14:59Z,Pair (New),0000-11-09T15:14:57Z,Session,16,1,None,bok-choy,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:18:21Z,0000-11-09T15:18:13Z,Pair (New),0000-11-09T15:18:12Z,Session,16,1,None,bottle,NA,NA,NA,NA,FF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:18:54Z,0000-11-09T15:18:53Z,Pair (New),0000-11-09T15:18:51Z,Session,16,1,None,banana,NA,NA,NA,NA,FF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:19:08Z,0000-11-09T15:19:04Z,Pair (New),0000-11-09T15:19:03Z,Session,16,0,None,cup,NA,NA,NA,NA,FF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:19:17Z,0000-11-09T15:19:16Z,Pair (New),0000-11-09T15:19:15Z,Session,16,1,None,helm,NA,NA,NA,NA,NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:19:48Z,0000-11-09T15:19:46Z,Pair (Repeated),0000-11-09T15:19:44Z,Session,16,0,None,flower,NA,NA,NA,NA,C-NF
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:00Z,0000-11-09T15:19:58Z,Pair (Repeated),0000-11-09T15:19:57Z,Session,16,0,None,bung,NA,NA,NA,NA,C-NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:15Z,0000-11-09T15:20:11Z,Pair (New),0000-11-09T15:20:10Z,Session,16,1,None,kettle,NA,NA,NA,NA,NN
1191603,29.400000000000002,female,95,NA,0.7619047619047619,0000-11-09T15:20:46Z,0000-11-09T15:20:46Z,Pair (Repeated),0000-11-09T15:20:44Z,Session,16,0,None,pretzel,NA,NA,NA,NA,C-NF
